name,lat,lon,wu_locality_id,imd_city_id
Bangalore (Karnataka),12.9716,77.5946,,
Mumbai (Maharashtra),19.076,72.8777,,
Delhi (Delhi),28.6139,77.209,,
Chennai (Tamil Nadu),13.0827,80.2707,,
Kolkata (West Bengal),22.5726,88.3639,,
Hyderabad (Telangana),17.385,78.4867,,
Ahmedabad (Gujarat),23.0225,72.5714,,
Pune (Maharashtra),18.5204,73.8567,,
Jaipur (Rajasthan),26.9124,75.7873,,
Lucknow (Uttar Pradesh),26.8467,80.9462,,
Kanpur (Uttar Pradesh),26.4499,80.3319,,
Nagpur (Maharashtra),21.1458,79.0882,,
Indore (Madhya Pradesh),22.7196,75.8577,,
Bhopal (Madhya Pradesh),23.2599,77.4126,,
Patna (Bihar),25.5941,85.1376,,
Ranchi (Jharkhand),23.3441,85.3096,,
Bhubaneswar (Odisha),20.2961,85.8245,,
Guwahati (Assam),26.1445,91.7362,,
Chandigarh (Chandigarh),30.7333,76.7794,,
Dehradun (Uttarakhand),30.3165,78.0322,,
Shimla (Himachal Pradesh),31.1048,77.1734,,
Srinagar (Jammu and Kashmir),34.0837,74.7973,,
Leh (Ladakh),34.1526,77.577,,
Amritsar (Punjab),31.634,74.8723,,
Gandhinagar (Gujarat),23.2156,72.6369,,
Thiruvananthapuram (Kerala),8.5241,76.9366,,
Kochi (Kerala),9.9312,76.2673,,
Panaji (Goa),15.4909,73.8278,,
Raipur (Chhattisgarh),21.2514,81.6296,,
Vijayawada (Andhra Pradesh),16.5062,80.648,,
Visakhapatnam (Andhra Pradesh),17.6868,83.2185,,
Itanagar (Arunachal Pradesh),27.0844,93.6053,,
Imphal (Manipur),24.817,93.9368,,
Shillong (Meghalaya),25.5788,91.8933,,
Aizawl (Mizoram),23.7271,92.7176,,
Kohima (Nagaland),25.6747,94.1086,,
Gangtok (Sikkim),27.3389,88.6065,,
Agartala (Tripura),23.8315,91.2868,,
Port Blair (Andaman and Nicobar),11.6234,92.7265,,
